AlumniID,FirstName,LastName,Email,Gender,Country,City,Department,GraduationYear,EmploymentStatus,Occupation,DonationAmount,EventParticipationCount,Mentorship,Feedback,LastEngagementDate
ALU0001,Elizabeth,Phillips,michael.johnson@yahoo.com,Male,Ghana,Millsborough,Education,2023,Self-Employed,Curriculum Developer,394.72,5,Yes,4,10/15/2025
ALU0002,Vanessa,Robinson,linda.garcia@company.com,Female,United Kingdom,South Lisahaven,Business,2024,Self-Employed,Marketing Specialist,0,2,Yes,2,10/23/2024
ALU0003,Lisa,Strong,david.gonzalez@gmail.com,Female,United Kingdom,South Andrew,Engineering,2025,Self-Employed,Civil Engineer,3900.92,10,Yes,4,4/30/2025
ALU0004,Christina,Spears,erik.stout@company.com,Female,Australia,Hufffort,Business,2025,Unemployed,Marketing Specialist,1566.35,5,No,4,9/30/2025
ALU0005,Teresa,Reynolds,misty.cobb@outlook.com,Male,Australia,Seanburgh,Education,2024,Student,Curriculum Developer,0,8,No,4,4/9/2024
ALU0006,Andrea,Cabrera,denise.austin@yahoo.com,Female,Canada,Andersonton,Computer Science,2022,Student,Data Analyst,0,0,Yes,2,3/17/2025
ALU0007,Phillip,Waller,douglas.hamilton@outlook.com,Female,Canada,New Matthewchester,Computer Science,2022,Employed,Software Engineer,0,8,No,1,6/9/2024
ALU0008,Dennis,Kennedy,karen.wilson@outlook.com,Male,Australia,North Shellyton,Education,2020,Employed,Teacher,0,8,Yes,4,8/26/2024
ALU0009,Joseph,Ray,amy.ritter@gmail.com,Male,United States,South Hannahfurt,Computer Science,2022,Self-Employed,Data Analyst,4559.75,4,No,5,3/17/2025
ALU0010,Emily,Willis,stacy.matthews@yahoo.com,Female,Australia,Vickiview,Computer Science,2024,Self-Employed,IT Support Specialist,0,2,No,2,9/2/2024
ALU0011,Erin,Jacobs,yolanda.morton@gmail.com,Female,Ghana,West Paulborough,Arts,2024,Unemployed,Art Coordinator,0,10,No,2,1/12/2024
ALU0012,Daniel,Walker,jorge.green@outlook.com,Female,United States,Erinberg,Engineering,2024,Unemployed,Mechanical Engineer,0,8,No,5,2/2/2025
ALU0013,Tyler,Porter,thomas.hebert@outlook.com,Male,Canada,Ayalaville,Business,2022,Self-Employed,Business Analyst,0,1,No,1,1/4/2024
ALU0014,Bruce,Fitzgerald,amy.gallagher@outlook.com,Female,Ghana,Marissaland,Computer Science,2020,Employed,IT Support Specialist,0,7,Yes,3,12/19/2024
ALU0015,Andrew,Wilson,alan.parker@gmail.com,Male,Ghana,Christinaton,Business,2025,Self-Employed,Marketing Specialist,0,7,Yes,4,3/12/2025
ALU0016,Ryan,Mccullough,monica.larsen@outlook.com,Male,Ghana,Port Amanda,Arts,2024,Employed,Art Coordinator,4095.69,7,No,4,10/20/2024
ALU0017,Michael,Cochran,tina.gordon@gmail.com,Female,Australia,Gabriellamouth,Computer Science,2023,Self-Employed,Software Engineer,0,7,No,5,10/15/2024
ALU0018,Deborah,Robinson,misty.rosales@yahoo.com,Female,United Kingdom,Reedport,Computer Science,2021,Self-Employed,Software Engineer,0,2,Yes,1,3/3/2024
ALU0019,Stephanie,Thomas,ashley.macias@gmail.com,Female,United States,Port Michelle,Arts,2022,Self-Employed,Multimedia Specialist,0,10,Yes,1,8/14/2024
ALU0020,Brian,Martin,susan.pittman@outlook.com,Female,United States,Riveraton,Education,2021,Employed,Teacher,798.68,0,No,3,7/30/2024
ALU0021,Nicholas,Smith,haley.gutierrez@company.com,Female,United States,West Hunter,Computer Science,2021,Student,IT Support Specialist,0,0,Yes,3,5/26/2025
ALU0022,Kenneth,Middleton,jennifer.cunningham@gmail.com,Male,United States,West April,Engineering,2023,Employed,Automation Engineer,2605.32,1,No,3,5/18/2025
ALU0023,Maria,Woods,joanna.ballard@yahoo.com,Male,Australia,Lake Billy,Business,2025,Self-Employed,HR Coordinator,0,0,No,3,2/1/2024
ALU0024,Justin,Foster,kathleen.wang@yahoo.com,Female,United Kingdom,Port Michael,Business,2024,Unemployed,HR Coordinator,0,2,No,1,5/11/2024
ALU0025,Hannah,Kennedy,kim.scott@outlook.com,Male,Australia,Rogerschester,Arts,2023,Unemployed,Graphic Designer,0,7,No,3,7/1/2025
ALU0026,Brittney,Vasquez,suzanne.clark@gmail.com,Female,Australia,Port Joshuashire,Computer Science,2025,Student,IT Support Specialist,1254.8,9,Yes,2,7/29/2024
ALU0027,Alan,Carpenter,henry.cervantes@yahoo.com,Male,Canada,Williamsbury,Education,2023,Employed,Curriculum Developer,0,0,Yes,2,8/5/2025
ALU0028,John,Jones,darlene.cruz@gmail.com,Female,United Kingdom,Johnsonton,Nursing,2020,Self-Employed,Clinical Assistant,1558.53,4,No,3,8/16/2025
ALU0029,Jill,Matthews,julia.davis@gmail.com,Male,United States,Port Jonathan,Computer Science,2023,Unemployed,Software Engineer,0,6,Yes,4,10/29/2023
ALU0030,Joe,Brown,kevin.kaufman@gmail.com,Male,Australia,North Ryanshire,Engineering,2023,Unemployed,Mechanical Engineer,4942.86,3,Yes,5,2/19/2025
ALU0031,Nathan,Walton,robert.robinson@outlook.com,Male,Canada,Lake Joseph,Education,2020,Student,Academic Advisor,0,10,No,4,11/30/2023
ALU0032,Tracey,Phillips,mallory.frost@gmail.com,Female,Australia,Christinebury,Arts,2023,Unemployed,Art Coordinator,2485.21,7,Yes,2,10/13/2024
ALU0033,Michael,Weber,timothy.cohen@yahoo.com,Male,United States,Lake Tonychester,Engineering,2023,Self-Employed,Mechanical Engineer,0,7,Yes,5,7/13/2025
ALU0034,Mason,Miller,carrie.boyer@company.com,Female,Canada,Oconnorhaven,Computer Science,2023,Student,Data Analyst,0,8,No,5,9/30/2025
ALU0035,Shawn,Wells,gregory.pearson@outlook.com,Female,United States,Kevinton,Computer Science,2023,Employed,Data Analyst,0,10,Yes,3,4/4/2025
ALU0036,John,Mendoza,madison.white@gmail.com,Male,Ghana,East Jerry,Education,2020,Unemployed,Teacher,0,1,Yes,2,10/4/2025
ALU0037,Eric,Davis,hailey.humphrey@gmail.com,Female,Canada,Taylorbury,Business,2024,Employed,Marketing Specialist,0,2,No,5,5/30/2025
ALU0038,Cheryl,Hudson,chris.escobar@company.com,Female,United Kingdom,Johnburgh,Arts,2021,Employed,Art Coordinator,2890.25,4,Yes,5,2/14/2025
ALU0039,Chad,Martin,abigail.sloan@yahoo.com,Female,Ghana,Brendantown,Education,2022,Self-Employed,Curriculum Developer,2304.09,10,Yes,5,11/21/2023
ALU0040,Justin,Cooper,alexandra.lowery@gmail.com,Male,Canada,Robersonburgh,Business,2021,Student,Marketing Specialist,0,3,Yes,2,7/11/2024
